"team","team_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Rockies","COL","2024","6322","4573",0.285,0.273,0.011999999999999955,0.468,0.447,0.02100000000000002,0.355,0.346,0.009000000000000008
"Marlins","MIA","2024","6269","4307",0.257,0.25,0.007000000000000006,0.428,0.418,0.010000000000000009,0.33,0.327,0.0030000000000000027
"White Sox","CWS","2024","6241","4175",0.255,0.243,0.01200000000000001,0.423,0.404,0.01899999999999996,0.331,0.322,0.009000000000000008
"D-backs","AZ","2024","6195","4343",0.262,0.259,0.0030000000000000027,0.434,0.419,0.015000000000000013,0.327,0.323,0.0040000000000000036
"Athletics","OAK","2024","6161","4275",0.253,0.242,0.01100000000000001,0.41,0.398,0.011999999999999955,0.32,0.315,0.0050000000000000044
"Pirates","PIT","2024","6159","4196",0.25,0.243,0.007000000000000006,0.402,0.399,0.0030000000000000027,0.316,0.316,0
"Red Sox","BOS","2024","6154","4262",0.246,0.243,0.0030000000000000027,0.397,0.395,0.0020000000000000018,0.307,0.309,-0.0020000000000000018
"Angels","LAA","2024","6146","4209",0.246,0.246,0,0.415,0.41,0.0050000000000000044,0.323,0.324,-0.0010000000000000009
"Yankees","NYY","2024","6130","4048",0.233,0.234,-0.0010000000000000009,0.391,0.386,0.0050000000000000044,0.307,0.309,-0.0020000000000000018
"Nationals","WSH","2024","6114","4281",0.258,0.255,0.0030000000000000027,0.406,0.408,-0.0019999999999999463,0.316,0.319,-0.0030000000000000027
"Rangers","TEX","2024","6108","4130",0.243,0.248,-0.0050000000000000044,0.403,0.412,-0.008999999999999952,0.313,0.322,-0.009000000000000008
"Mets","NYM","2024","6098","3957",0.23,0.234,-0.0040000000000000036,0.373,0.379,-0.006000000000000005,0.304,0.311,-0.007000000000000006
"Giants","SF","2024","6095","4059",0.246,0.238,0.008000000000000007,0.389,0.385,0.0040000000000000036,0.31,0.309,0.0010000000000000009
"Twins","MIN","2024","6078","4072",0.242,0.234,0.00799999999999998,0.4,0.388,0.01200000000000001,0.305,0.302,0.0030000000000000027
"Brewers","MIL","2024","6076","4139",0.237,0.245,-0.008000000000000007,0.388,0.402,-0.014000000000000012,0.303,0.315,-0.01200000000000001
"Orioles","BAL","2024","6071","4156",0.238,0.237,0.0010000000000000009,0.39,0.395,-0.0050000000000000044,0.303,0.308,-0.0050000000000000044
"Reds","CIN","2024","6064","4113",0.239,0.236,0.0030000000000000027,0.404,0.388,0.016000000000000014,0.312,0.307,0.0050000000000000044
"Phillies","PHI","2024","6050","4112",0.243,0.242,0.0010000000000000009,0.397,0.387,0.010000000000000009,0.306,0.305,0.0010000000000000009
"Dodgers","LAD","2024","6047","4094",0.235,0.24,-0.0050000000000000044,0.399,0.398,0.0010000000000000009,0.306,0.311,-0.0050000000000000044
"Blue Jays","TOR","2024","6047","4155",0.243,0.249,-0.006000000000000005,0.411,0.416,-0.0050000000000000044,0.315,0.323,-0.008000000000000007
"Cardinals","STL","2024","6044","4238",0.249,0.252,-0.0030000000000000027,0.405,0.404,0.0010000000000000009,0.31,0.315,-0.0050000000000000044
"Cubs","CHC","2024","6032","4147",0.239,0.242,-0.0030000000000000027,0.386,0.394,-0.008000000000000007,0.303,0.31,-0.007000000000000006
"Padres","SD","2024","6029","4038",0.238,0.237,0.0010000000000000009,0.385,0.385,0,0.301,0.304,-0.0030000000000000027
"Rays","TB","2024","6022","4101",0.236,0.239,-0.0030000000000000027,0.39,0.399,-0.009000000000000008,0.301,0.308,-0.007000000000000006
"Astros","HOU","2024","6018","3930",0.231,0.229,0.0020000000000000018,0.381,0.37,0.01100000000000001,0.303,0.301,0.0020000000000000018
"Royals","KC","2024","6007","4123",0.241,0.247,-0.006000000000000005,0.383,0.398,-0.015000000000000013,0.302,0.314,-0.01200000000000001
"Braves","ATL","2024","5978","3907",0.236,0.233,0.002999999999999975,0.372,0.366,0.006000000000000005,0.295,0.294,0.0010000000000000009
"Tigers","DET","2024","5969","4140",0.233,0.239,-0.005999999999999978,0.372,0.375,-0.0030000000000000027,0.29,0.298,-0.008000000000000007
"Guardians","CLE","2024","5923","3959",0.23,0.236,-0.005999999999999978,0.395,0.392,0.0030000000000000027,0.303,0.308,-0.0050000000000000044
"Mariners","SEA","2024","5801","3963",0.22,0.229,-0.009000000000000008,0.374,0.379,-0.0050000000000000044,0.283,0.292,-0.009000000000000008